Area,Rainfall,Temperature,Humidity,Fertilizer,Pesticide,Year,Yield,Crop_Cotton,Crop_Groundnut,Crop_Maize,Crop_Rice,Crop_Soybean,Crop_Sugarcane,Crop_Wheat,Soil_Type_Clay,Soil_Type_Loamy,Soil_Type_Red,Soil_Type_Sandy
10.61,628.8,23.6,43.4,136.1,11.1,2023,2.13,True,False,False,False,False,False,False,True,False,False,False
12.62,1782.8,28.5,40.4,117.8,40.5,2017,1.68,False,False,False,False,True,False,False,False,False,True,False
6.17,1266.5,29.5,50.2,171.4,16.6,2015,3.98,False,False,True,False,False,False,False,False,False,False,True
13.05,1569.6,18.7,56.7,205.6,17.2,2022,3.32,False,False,False,False,False,False,True,True,False,False,False
3.13,1725.8,29.1,47.5,257.0,35.8,2017,4.68,False,False,False,True,False,False,False,False,True,False,False
3.42,866.1,32.4,79.8,273.7,14.2,2018,2.84,False,True,False,False,False,False,False,False,True,False,False
19.5,1461.8,32.8,51.8,293.8,49.0,2021,2.49,False,True,False,False,False,False,False,True,False,False,False
4.41,1698.1,30.5,60.6,109.4,47.7,2016,3.66,False,False,False,True,False,False,False,True,False,False,False
5.23,1552.4,25.4,55.3,98.0,40.3,2021,1.93,False,False,False,False,False,False,False,True,False,False,False
6.29,543.7,30.4,57.6,143.9,58.9,2023,7.32,False,False,False,False,False,True,False,False,False,True,False
4.39,1749.4,22.2,45.4,129.9,47.6,2021,1.91,False,False,False,False,True,False,False,False,False,False,False
8.32,1228.4,22.1,75.4,175.2,48.8,2025,3.76,False,False,False,False,False,False,True,False,True,False,False
7.92,544.5,28.6,56.5,212.5,9.2,2019,1.75,True,False,False,False,False,False,False,False,False,False,True
13.67,890.3,29.2,67.7,149.3,56.5,2025,2.03,False,False,False,False,True,False,False,True,False,False,False
8.72,1575.5,22.9,50.5,197.7,20.7,2022,1.84,False,False,False,False,True,False,False,False,False,True,False
13.84,1140.1,30.7,88.0,211.3,18.5,2025,2.17,False,False,False,False,False,False,False,True,False,False,False
13.78,753.3,21.2,41.2,295.8,37.5,2016,2.4,True,False,False,False,False,False,False,True,False,False,False
8.87,1300.2,21.1,74.8,143.9,10.6,2015,2.4,False,False,False,False,False,False,False,False,False,False,False
15.79,745.4,30.9,74.8,53.1,16.5,2016,2.91,False,False,False,False,False,False,True,False,False,False,False
3.53,1077.3,26.5,67.9,287.0,53.7,2024,2.37,False,False,False,False,False,False,False,False,False,False,True
16.78,1189.6,32.4,77.2,157.0,45.6,2025,2.14,False,True,False,False,False,False,False,False,False,False,False
15.55,1153.8,28.0,53.7,225.5,15.6,2020,2.27,False,False,False,False,True,False,False,False,True,False,False
3.87,967.1,20.4,50.7,146.0,33.5,2021,4.39,False,False,True,False,False,False,False,False,False,False,False
4.93,1017.2,32.5,69.2,262.8,46.4,2021,4.73,False,False,False,True,False,False,False,False,True,False,False
15.32,1602.2,33.3,61.0,248.0,54.1,2022,2.07,False,False,False,False,True,False,False,False,False,True,False
6.19,1105.6,24.2,73.4,228.3,50.7,2017,2.8,True,False,False,False,False,False,False,False,False,False,False
12.25,1345.0,19.3,61.4,87.2,17.1,2020,2.18,False,True,False,False,False,False,False,False,False,False,False
9.64,905.6,32.1,53.9,105.6,6.8,2015,2.16,True,False,False,False,False,False,False,False,False,False,False
5.26,542.6,33.3,42.0,286.9,13.6,2015,9.22,False,False,False,False,False,True,False,False,True,False,False
5.53,1089.3,19.8,87.4,221.9,46.5,2017,4.19,False,False,True,False,False,False,False,False,False,False,False
15.78,671.1,23.0,68.9,189.7,54.7,2021,2.92,False,False,False,False,False,False,True,False,False,False,True
18.89,717.7,27.5,81.5,66.5,46.8,2025,2.07,False,True,False,False,False,False,False,True,False,False,False
7.6,1028.3,23.9,65.3,43.3,26.4,2022,3.24,False,False,False,True,False,False,False,False,False,False,True
9.24,939.0,32.3,63.0,153.2,44.6,2025,3.49,False,False,False,False,False,False,True,True,False,False,False
9.83,1564.7,27.5,56.1,256.0,7.0,2022,2.63,False,False,False,False,False,False,False,True,False,False,False
15.26,1219.3,28.7,56.8,261.2,12.5,2018,2.54,True,False,False,False,False,False,False,False,False,False,False
17.73,1396.6,22.4,40.5,62.3,43.8,2022,1.84,False,False,False,False,True,False,False,True,False,False,False
14.12,1322.0,25.9,79.6,116.5,25.5,2018,2.15,True,False,False,False,False,False,False,False,True,False,False
11.52,914.1,33.9,67.5,222.7,17.7,2019,2.24,False,False,False,False,False,False,False,False,False,False,True
3.29,710.0,19.9,66.8,89.8,44.8,2019,1.9,True,False,False,False,False,False,False,True,False,False,False
19.63,1574.0,22.7,58.0,43.7,33.0,2019,0.96,False,False,False,False,True,False,False,False,False,False,True
19.51,1197.0,29.2,46.3,66.7,2.7,2019,3.71,False,False,False,True,False,False,False,False,False,False,False
19.34,790.8,31.8,45.7,144.2,6.3,2025,4.19,False,False,True,False,False,False,False,False,True,False,False
3.88,1545.0,33.2,44.3,70.8,46.3,2024,3.32,False,False,False,True,False,False,False,True,False,False,False
9.56,1047.7,31.8,89.5,187.8,5.5,2016,2.1,False,True,False,False,False,False,False,False,False,False,True
12.88,807.3,19.3,52.0,59.5,2.2,2022,1.76,True,False,False,False,False,False,False,False,False,True,False
5.4,1404.4,29.2,62.7,280.2,47.7,2025,4.56,False,False,False,True,False,False,False,True,False,False,False
9.08,1185.2,28.4,85.4,58.6,11.6,2019,1.68,True,False,False,False,False,False,False,True,False,False,False
9.34,1082.7,22.9,60.1,170.1,30.6,2016,1.66,False,False,False,False,True,False,False,False,False,False,True
17.9,1441.6,27.7,41.3,290.1,50.5,2024,4.73,False,False,False,True,False,False,False,True,False,False,False
11.95,1480.2,20.8,65.9,278.2,12.5,2024,2.28,False,False,False,False,True,False,False,False,False,False,False
13.06,1113.8,19.5,57.4,123.5,8.1,2017,1.9,False,True,False,False,False,False,False,False,False,False,True
13.59,990.6,30.2,41.8,121.8,20.7,2021,2.33,False,False,False,False,True,False,False,False,True,False,False
13.5,1182.5,24.6,49.4,201.9,30.9,2022,4.03,False,False,False,True,False,False,False,False,False,False,True
18.63,1041.5,29.2,46.1,247.8,43.2,2019,4.32,False,False,True,False,False,False,False,False,False,True,False
11.49,575.8,33.9,85.6,286.2,39.6,2017,4.5,False,False,False,True,False,False,False,False,False,False,False
8.89,1101.4,25.6,62.8,139.7,55.5,2023,2.04,False,False,False,False,True,False,False,True,False,False,False
17.42,822.9,30.6,60.7,109.5,2.1,2019,3.76,False,False,True,False,False,False,False,False,False,True,False
17.44,1052.8,25.7,56.6,138.1,56.1,2018,1.86,False,False,False,False,False,False,False,False,False,True,False
11.86,765.3,30.4,42.2,223.4,49.1,2021,2.8,True,False,False,False,False,False,False,False,False,False,False
10.41,500.0,26.0,69.5,267.3,27.5,2023,4.77,False,False,True,False,False,False,False,False,True,False,False
1.29,644.6,31.9,88.5,162.1,58.2,2020,2.06,False,False,False,False,False,False,False,False,True,False,False
17.18,1600.7,31.7,59.0,203.0,53.5,2022,2.97,False,False,False,False,False,False,True,False,False,False,True
12.73,766.9,29.0,54.4,234.2,27.2,2016,4.68,False,False,False,True,False,False,False,True,False,False,False
9.43,1386.9,32.5,42.3,116.3,23.7,2017,3.12,False,False,False,False,False,False,True,False,True,False,False
11.09,1214.0,30.7,48.5,198.5,24.2,2025,2.48,True,False,False,False,False,False,False,False,True,False,False
5.41,1311.2,25.4,73.3,274.3,41.3,2017,5.22,False,False,True,False,False,False,False,False,False,False,False
9.39,916.5,27.4,71.9,219.5,28.5,2019,4.14,False,False,False,False,False,False,True,False,False,False,False
3.03,964.8,23.7,54.8,45.7,50.1,2021,1.82,False,False,False,False,False,False,False,False,False,False,True
1.15,1617.8,30.5,88.7,233.7,50.3,2019,2.03,False,False,False,False,True,False,False,False,False,True,False
5.16,706.7,22.0,77.8,203.3,54.4,2025,8.32,False,False,False,False,False,True,False,True,False,False,False
6.87,1045.1,27.3,76.6,276.5,20.9,2021,5.36,False,False,False,True,False,False,False,False,True,False,False
11.09,1683.2,31.3,52.8,291.5,19.1,2020,9.01,False,False,False,False,False,True,False,False,False,False,False
9.9,551.7,30.1,51.3,291.5,48.7,2020,4.22,False,False,False,False,False,False,True,False,False,False,False
11.19,1064.0,28.8,73.6,139.1,39.0,2020,2.04,False,False,False,False,True,False,False,False,False,True,False
13.82,1086.5,27.9,87.2,278.0,14.8,2016,3.53,False,False,False,False,False,False,True,False,False,False,True
13.34,607.5,18.7,41.9,70.2,15.6,2023,1.63,False,False,False,False,True,False,False,False,False,False,False
8.38,950.9,33.2,74.8,149.0,45.1,2017,4.04,False,False,True,False,False,False,False,False,False,True,False
12.7,1717.7,22.5,74.5,155.3,57.1,2020,1.8,False,False,False,False,False,False,False,True,False,False,False
19.64,945.9,32.4,72.2,143.5,13.0,2016,4.01,False,False,False,False,False,False,True,False,True,False,False
13.59,1316.3,27.6,41.1,103.3,9.3,2024,2.78,False,False,False,False,False,False,True,False,False,False,True
2.3,1483.0,21.3,50.8,125.4,10.6,2024,2.4,True,False,False,False,False,False,False,True,False,False,False
19.76,1179.3,30.8,45.5,74.3,22.8,2018,3.81,False,False,True,False,False,False,False,False,True,False,False
1.3,808.2,20.0,61.0,233.9,29.6,2020,9.21,False,False,False,False,False,True,False,False,True,False,False
18.96,508.5,30.5,83.3,118.4,39.3,2015,1.93,True,False,False,False,False,False,False,False,False,True,False
19.97,1593.9,24.8,45.4,59.1,6.7,2024,3.76,False,False,False,True,False,False,False,False,False,False,False
8.24,1256.5,22.7,65.3,65.8,42.7,2025,7.44,False,False,False,False,False,True,False,False,False,False,False
9.17,1648.9,24.6,81.4,148.2,7.5,2021,2.12,True,False,False,False,False,False,False,False,False,False,False
14.05,1090.3,19.5,44.3,65.1,44.9,2017,3.82,False,False,True,False,False,False,False,False,False,False,False
12.14,1208.1,23.3,46.1,267.1,56.6,2021,4.49,False,False,False,True,False,False,False,False,False,False,True
12.41,924.7,27.2,50.6,98.3,8.3,2023,1.79,False,False,False,False,True,False,False,False,False,False,False
3.18,826.1,21.6,61.5,293.4,49.5,2024,8.79,False,False,False,False,False,True,False,False,False,True,False
1.55,818.9,30.2,86.1,41.6,52.5,2024,1.31,False,False,False,False,True,False,False,False,False,False,True
2.32,1450.3,33.5,44.6,95.9,26.4,2020,2.11,False,True,False,False,False,False,False,False,False,True,False
15.76,1216.3,19.4,42.6,236.2,4.9,2016,8.88,False,False,False,False,False,True,False,True,False,False,False
9.42,1022.4,27.7,60.7,236.3,8.6,2021,2.51,False,False,False,False,True,False,False,True,False,False,False
11.01,866.4,21.5,89.2,42.0,19.5,2018,2.09,False,False,False,False,False,False,False,False,True,False,False
15.52,840.8,19.9,64.9,85.7,24.1,2018,3.44,False,False,True,False,False,False,False,False,False,False,False
2.37,1613.4,18.7,40.9,264.1,35.4,2024,9.02,False,False,False,False,False,True,False,False,True,False,False
14.48,1013.9,19.8,41.0,84.7,57.0,2022,2.16,False,True,False,False,False,False,False,False,False,False,True
9.3,592.9,25.0,60.0,142.9,20.0,2020,3.28,False,False,False,False,False,False,True,False,True,False,False
7.33,677.0,26.2,45.7,90.4,47.0,2020,1.91,True,False,False,False,False,False,False,False,False,True,False
5.49,647.7,21.2,70.1,86.1,46.8,2022,3.45,False,False,True,False,False,False,False,False,True,False,False
15.33,1475.8,25.2,86.2,207.2,59.2,2020,2.29,False,False,False,False,False,False,False,False,False,True,False
9.36,1083.0,28.1,79.8,54.6,31.4,2019,3.26,False,False,True,False,False,False,False,False,False,True,False
9.59,526.8,31.3,43.8,199.9,31.4,2022,1.87,False,False,False,False,False,False,False,False,True,False,False
9.54,1543.3,28.4,56.1,170.4,57.5,2022,4.1,False,False,False,True,False,False,False,False,False,False,False
16.41,1580.5,33.7,44.2,50.2,43.0,2022,2.58,False,False,False,False,False,False,True,True,False,False,False
8.08,831.9,24.5,56.9,53.6,38.6,2020,6.79,False,False,False,False,False,True,False,False,False,True,False
7.26,1203.3,24.2,52.6,267.1,21.3,2024,3.71,False,False,False,False,False,False,True,False,False,True,False
19.39,1392.9,24.3,69.8,120.5,23.8,2020,1.66,False,False,False,False,True,False,False,False,True,False,False
13.73,1569.1,29.8,74.3,64.3,40.9,2023,3.14,False,False,True,False,False,False,False,False,False,True,False
19.07,911.3,30.3,49.6,80.3,19.2,2016,3.81,False,False,True,False,False,False,False,True,False,False,False
13.58,1633.1,27.9,69.9,82.2,50.2,2024,3.69,False,False,False,True,False,False,False,True,False,False,False
1.83,941.8,29.5,88.5,114.1,45.4,2022,1.86,False,False,False,False,False,False,False,False,False,True,False
11.15,867.8,30.9,63.5,135.6,56.9,2022,2.02,True,False,False,False,False,False,False,True,False,False,False
10.56,1015.2,20.6,50.0,76.0,16.5,2025,2.15,False,True,False,False,False,False,False,False,False,True,False
17.61,1198.6,19.6,82.3,114.1,46.3,2019,1.88,False,False,False,False,False,False,False,False,True,False,False
2.74,1679.2,31.1,84.2,147.9,25.0,2020,2.42,False,True,False,False,False,False,False,False,True,False,False
8.34,560.2,21.6,55.9,258.2,39.7,2017,2.66,True,False,False,False,False,False,False,False,True,False,False
14.23,637.4,29.3,62.4,275.5,3.1,2018,2.64,False,False,False,False,False,False,False,False,True,False,False
11.43,1431.8,26.4,45.6,101.8,9.1,2018,2.99,False,False,True,False,False,False,False,False,False,False,True
2.19,1579.5,26.0,66.8,189.5,43.7,2019,2.21,False,False,False,False,False,False,False,False,False,True,False
1.03,926.3,27.1,49.4,176.1,22.9,2023,2.41,False,True,False,False,False,False,False,False,True,False,False
8.42,1084.7,28.2,89.1,234.3,22.7,2016,4.13,False,False,False,True,False,False,False,False,False,False,True
5.58,1337.1,19.7,69.1,74.7,22.4,2020,6.2,False,False,False,False,False,True,False,False,False,False,True
19.64,1096.0,20.9,46.7,49.6,13.7,2018,1.81,False,False,False,False,False,False,False,False,False,False,False
7.0,868.6,24.4,80.8,105.9,45.7,2018,4.12,False,False,False,True,False,False,False,False,False,False,False
17.45,898.1,20.0,58.4,233.3,53.9,2021,5.2,False,False,False,True,False,False,False,False,False,False,False
19.5,1119.9,26.0,86.2,109.3,6.8,2021,7.72,False,False,False,False,False,True,False,False,False,True,False
11.36,883.6,19.3,73.0,155.9,43.6,2017,3.66,False,False,True,False,False,False,False,False,False,False,True
7.68,507.2,31.9,57.6,111.4,58.8,2015,2.2,False,False,False,False,False,False,False,False,False,False,False
10.75,1462.4,20.6,41.6,216.3,27.4,2017,8.11,False,False,False,False,False,True,False,False,False,True,False
5.48,1321.0,23.8,87.5,197.3,41.4,2020,3.7,False,False,False,False,False,False,True,False,True,False,False
11.06,987.3,28.4,52.5,46.7,12.8,2023,4.0,False,False,True,False,False,False,False,False,True,False,False
18.36,609.0,30.4,75.2,299.1,18.6,2022,2.73,False,True,False,False,False,False,False,True,False,False,False
9.59,1663.2,25.1,44.4,213.6,43.2,2023,3.29,False,False,False,False,False,False,True,False,False,False,True
17.94,1599.3,29.4,86.4,246.4,31.5,2016,2.46,False,False,False,False,True,False,False,True,False,False,False
16.02,485.5,26.9,58.4,73.7,53.3,2016,1.82,True,False,False,False,False,False,False,False,False,True,False
8.57,1417.9,25.7,60.5,254.1,6.3,2020,2.22,False,False,False,False,True,False,False,False,False,False,False
3.44,1569.2,26.8,69.4,152.5,54.8,2015,7.61,False,False,False,False,False,True,False,True,False,False,False
10.84,860.6,20.6,86.7,130.0,56.6,2019,3.48,False,False,False,False,False,False,True,True,False,False,False
3.38,858.8,26.5,65.1,193.9,35.7,2017,2.06,False,False,False,False,True,False,False,True,False,False,False
17.01,1210.9,31.2,41.4,286.6,46.7,2019,9.53,False,False,False,False,False,True,False,False,True,False,False
12.74,490.9,32.2,67.3,165.6,48.7,2025,1.79,False,True,False,False,False,False,False,False,False,False,True
6.65,548.5,19.0,62.0,160.8,21.7,2017,2.29,False,True,False,False,False,False,False,False,False,False,False
19.53,626.5,23.9,68.1,102.9,9.1,2022,6.8,False,False,False,False,False,True,False,False,False,False,True
3.68,518.3,33.1,83.2,104.6,52.2,2017,2.19,True,False,False,False,False,False,False,False,False,False,False
4.61,665.1,33.9,63.3,169.3,7.2,2021,6.56,False,False,False,False,False,True,False,False,False,False,True
19.37,740.4,23.6,42.5,195.4,50.9,2025,2.09,False,False,False,False,False,False,False,False,False,False,False
9.19,1641.3,29.6,78.2,51.8,5.0,2023,2.58,False,False,False,False,False,False,True,False,False,False,True
7.89,839.6,24.2,62.5,112.7,59.4,2025,1.97,True,False,False,False,False,False,False,False,False,True,False
8.48,1523.1,23.4,86.9,91.8,31.5,2023,3.06,False,False,False,False,False,False,True,True,False,False,False
1.86,635.0,23.3,63.7,78.7,53.8,2017,3.78,False,False,False,True,False,False,False,False,False,False,False
8.47,1282.3,31.5,69.7,255.4,32.9,2024,4.5,False,False,True,False,False,False,False,False,False,True,False
10.02,472.5,23.3,45.5,191.8,48.2,2025,2.31,False,False,False,False,True,False,False,False,False,False,False
14.71,1237.8,20.7,71.5,241.4,24.1,2025,2.37,True,False,False,False,False,False,False,False,False,True,False
1.6,1730.1,19.8,40.9,148.9,26.0,2018,1.51,True,False,False,False,False,False,False,False,False,False,True
17.58,1443.4,19.0,46.9,185.8,59.9,2022,2.26,False,False,False,False,False,False,False,True,False,False,False
6.96,683.8,32.6,57.1,215.7,52.3,2025,2.06,False,True,False,False,False,False,False,False,False,False,True
4.65,782.8,26.9,51.2,240.5,42.9,2022,1.88,False,False,False,False,False,False,False,False,False,False,True
10.12,1206.7,33.0,76.1,71.7,41.2,2021,6.36,False,False,False,False,False,True,False,False,False,False,True
19.14,1536.2,22.6,54.4,130.1,27.7,2019,7.79,False,False,False,False,False,True,False,False,True,False,False
5.07,1567.7,22.3,68.1,75.7,37.7,2024,1.6,False,False,False,False,False,False,False,False,False,False,True
13.12,520.9,24.6,75.9,217.1,10.0,2023,2.53,True,False,False,False,False,False,False,False,True,False,False
8.73,1712.3,32.1,63.9,236.5,18.7,2019,3.86,False,False,True,False,False,False,False,True,False,False,False
13.39,763.5,29.8,82.5,277.4,12.2,2017,3.96,False,False,False,False,False,False,True,False,True,False,False
19.95,985.9,25.9,86.8,268.0,2.5,2024,4.14,False,False,False,True,False,False,False,False,False,False,True
6.41,1785.3,26.7,64.7,261.3,29.1,2018,8.36,False,False,False,False,False,True,False,True,False,False,False
7.28,1437.0,28.4,75.9,231.5,47.9,2024,3.95,False,False,False,False,False,False,True,False,True,False,False
16.71,1145.6,19.4,73.5,295.2,29.7,2018,2.65,False,True,False,False,False,False,False,True,False,False,False
5.95,768.0,30.1,87.7,191.4,35.2,2019,3.73,False,False,False,True,False,False,False,False,False,False,True
13.69,1078.3,20.6,74.3,219.5,39.0,2019,3.85,False,False,False,True,False,False,False,False,False,False,True
12.68,745.8,20.1,47.7,137.1,42.7,2022,7.43,False,False,False,False,False,True,False,False,False,True,False
15.48,1368.5,27.5,79.4,156.2,42.8,2016,1.79,True,False,False,False,False,False,False,False,False,True,False
2.17,1189.3,26.1,68.6,82.8,51.6,2022,3.35,False,False,False,False,False,False,True,True,False,False,False
2.73,1139.0,30.9,62.7,148.0,34.7,2023,2.1,False,False,False,False,False,False,False,False,False,True,False
13.78,866.0,18.3,52.7,233.9,35.5,2015,2.19,False,False,False,False,False,False,False,False,True,False,False
18.76,543.2,32.9,41.6,86.8,9.9,2025,3.93,False,False,False,True,False,False,False,False,False,False,False
8.11,1653.3,25.2,85.9,137.7,41.6,2025,2.41,False,True,False,False,False,False,False,False,False,False,False
3.25,1790.3,24.3,46.4,257.1,45.9,2019,8.45,False,False,False,False,False,True,False,True,False,False,False
13.8,1185.0,26.5,81.2,159.8,11.0,2018,2.44,False,False,False,False,False,False,False,True,False,False,False
1.61,1341.3,27.8,86.8,102.6,5.9,2024,3.34,False,False,False,False,False,False,True,False,True,False,False
9.48,1357.2,32.0,52.2,144.6,15.6,2018,4.28,False,False,False,True,False,False,False,False,True,False,False
10.57,840.5,31.1,76.6,190.1,46.8,2020,3.4,False,False,True,False,False,False,False,False,False,False,True
6.73,643.4,28.6,51.1,111.5,34.3,2024,2.11,True,False,False,False,False,False,False,False,False,False,True
11.56,513.3,23.5,72.2,244.3,20.5,2021,2.44,False,True,False,False,False,False,False,False,False,False,False
3.84,958.2,30.1,63.7,118.2,43.0,2022,2.54,False,True,False,False,False,False,False,True,False,False,False
11.59,631.0,21.9,50.2,279.8,51.1,2016,2.75,False,True,False,False,False,False,False,False,True,False,False
1.98,959.2,27.7,42.0,88.9,46.2,2025,2.02,True,False,False,False,False,False,False,False,True,False,False
6.76,1677.1,21.4,49.5,234.2,45.8,2018,8.7,False,False,False,False,False,True,False,False,True,False,False
8.54,773.1,23.1,54.2,178.7,22.8,2019,2.14,True,False,False,False,False,False,False,False,False,False,False
2.87,1774.8,25.5,82.0,136.4,26.0,2024,2.23,False,False,False,False,False,False,False,True,False,False,False
15.08,471.9,26.9,69.2,116.7,13.4,2018,1.88,True,False,False,False,False,False,False,False,False,False,False
11.46,1723.7,23.4,78.2,291.3,39.2,2022,2.6,False,False,False,False,False,False,False,False,False,False,False
4.2,1523.2,20.7,76.0,87.9,53.6,2025,2.11,False,False,False,False,False,False,False,False,False,False,False
18.96,1352.1,30.2,60.6,57.7,10.8,2018,2.95,False,False,False,False,False,False,True,True,False,False,False
8.09,1284.1,28.7,70.8,211.4,2.9,2023,2.32,False,False,False,False,False,False,False,False,False,False,False
11.18,837.0,26.0,74.9,249.6,54.8,2016,2.4,False,False,False,False,True,False,False,False,False,False,False
10.96,775.3,27.9,52.6,109.5,25.0,2020,3.14,False,False,False,False,False,False,True,False,False,False,True
19.81,754.9,28.9,82.4,64.3,24.0,2023,2.02,True,False,False,False,False,False,False,False,True,False,False
2.07,462.8,20.7,65.0,207.7,21.2,2016,2.54,False,False,False,False,False,False,False,False,False,False,False
5.02,1622.0,32.2,63.8,280.3,41.7,2019,2.26,True,False,False,False,False,False,False,False,True,False,False
4.41,1598.1,18.3,50.4,235.6,43.3,2021,4.46,False,False,False,True,False,False,False,True,False,False,False
11.77,1596.7,28.8,67.0,236.5,10.1,2016,2.36,True,False,False,False,False,False,False,False,False,False,False
2.02,1040.1,31.4,57.0,288.3,25.0,2020,9.15,False,False,False,False,False,True,False,False,False,True,False
10.32,930.3,33.1,61.6,211.8,7.0,2024,2.21,False,False,False,False,False,False,False,False,False,True,False
16.16,1412.7,19.3,47.7,232.3,20.4,2016,2.48,False,False,False,False,True,False,False,True,False,False,False
7.84,814.2,20.1,49.4,184.8,31.7,2016,2.49,False,False,False,False,False,False,False,False,False,False,False
2.7,1198.2,27.6,79.2,43.2,26.0,2016,3.76,False,False,False,True,False,False,False,False,False,False,False
11.87,678.9,24.1,46.9,109.8,10.5,2017,1.6,True,False,False,False,False,False,False,False,False,False,True
6.24,854.7,30.5,58.1,227.4,30.8,2024,2.68,False,True,False,False,False,False,False,True,False,False,False
1.13,984.2,31.5,59.0,154.5,27.0,2025,1.88,False,False,False,False,True,False,False,False,False,False,True
6.71,1264.3,29.1,64.0,290.8,58.2,2019,4.58,False,False,True,False,False,False,False,True,False,False,False
7.19,828.4,30.6,58.3,91.9,59.8,2017,1.7,True,False,False,False,False,False,False,False,False,True,False
19.11,1073.2,29.3,61.9,256.1,6.0,2021,4.26,False,False,False,True,False,False,False,False,False,False,True
5.6,1339.2,29.4,79.5,156.8,36.7,2024,2.01,False,False,False,False,True,False,False,False,True,False,False
11.15,1696.7,31.9,60.9,245.6,22.9,2023,2.31,False,True,False,False,False,False,False,False,True,False,False
15.61,1337.8,23.7,72.3,186.4,39.4,2025,3.62,False,False,False,False,False,False,True,False,True,False,False
19.37,897.7,30.7,45.3,107.3,31.6,2023,2.16,False,True,False,False,False,False,False,False,True,False,False
9.47,978.0,30.4,69.4,79.2,59.9,2022,1.86,True,False,False,False,False,False,False,False,False,True,False
6.61,1692.7,19.4,81.6,130.6,21.9,2018,2.97,False,False,False,False,False,False,True,True,False,False,False
9.33,1390.6,23.1,55.0,45.9,21.9,2016,3.11,False,False,False,False,False,False,True,False,True,False,False
18.67,1449.7,26.3,67.6,185.6,57.6,2018,3.72,False,False,True,False,False,False,False,False,False,False,True
13.17,1033.4,18.5,70.7,156.9,26.9,2015,3.8,False,False,True,False,False,False,False,True,False,False,False
4.91,1465.6,30.9,43.1,247.9,33.1,2020,2.43,True,False,False,False,False,False,False,False,True,False,False
13.74,1110.8,33.5,55.7,198.9,36.0,2020,2.37,False,False,False,False,True,False,False,False,False,False,False
17.06,1283.4,31.0,75.3,278.9,36.2,2025,8.09,False,False,False,False,False,True,False,False,False,False,True
