Crop,Area,Rainfall,Temperature,Humidity,Soil_Type,Fertilizer,Pesticide,Year,Yield
Soybean,11.19,1064.0,28.8,73.6,Red,139.1,39.0,2020,2.04
Wheat,13.82,1086.5,27.9,87.2,Sandy,278.0,14.8,2016,3.53
Soybean,13.34,607.5,18.7,41.9,Black,70.2,15.6,2023,1.63
Maize,8.38,950.9,33.2,74.8,Red,149.0,45.1,2017,4.04
Chickpea,12.7,1717.7,22.5,74.5,Clay,155.3,57.1,2020,1.8
Wheat,19.64,945.9,32.4,72.2,Loamy,143.5,13.0,2016,4.01
Wheat,13.59,1316.3,27.6,41.1,Sandy,103.3,9.3,2024,2.78
Cotton,2.3,1483.0,21.3,50.8,Clay,125.4,10.6,2024,2.4
Maize,19.76,1179.3,30.8,45.5,Loamy,74.3,22.8,2018,3.81
Sugarcane,1.3,808.2,20.0,61.0,Loamy,233.9,29.6,2020,9.21
Cotton,18.96,508.5,30.5,83.3,Red,118.4,39.3,2015,1.93
Rice,19.97,1593.9,24.8,45.4,Black,59.1,6.7,2024,3.76
Sugarcane,8.24,1256.5,22.7,65.3,Black,65.8,42.7,2025,7.44
Cotton,9.17,1648.9,24.6,81.4,Black,148.2,7.5,2021,2.12
Maize,14.05,1090.3,19.5,44.3,Black,65.1,44.9,2017,3.82
Rice,12.14,1208.1,23.3,46.1,Sandy,267.1,56.6,2021,4.49
Soybean,12.41,924.7,27.2,50.6,Black,98.3,8.3,2023,1.79
Sugarcane,3.18,826.1,21.6,61.5,Red,293.4,49.5,2024,8.79
Soybean,1.55,818.9,30.2,86.1,Sandy,41.6,52.5,2024,1.31
Groundnut,2.32,1450.3,33.5,44.6,Red,95.9,26.4,2020,2.11
Sugarcane,15.76,1216.3,19.4,42.6,Clay,236.2,4.9,2016,8.88
Soybean,9.42,1022.4,27.7,60.7,Clay,236.3,8.6,2021,2.51
Chickpea,11.01,866.4,21.5,89.2,Loamy,42.0,19.5,2018,2.09
Maize,15.52,840.8,19.9,64.9,Black,85.7,24.1,2018,3.44
Sugarcane,2.37,1613.4,18.7,40.9,Loamy,264.1,35.4,2024,9.02
Groundnut,14.48,1013.9,19.8,41.0,Sandy,84.7,57.0,2022,2.16
Wheat,9.3,592.9,25.0,60.0,Loamy,142.9,20.0,2020,3.28
Cotton,7.33,677.0,26.2,45.7,Red,90.4,47.0,2020,1.91
Maize,5.49,647.7,21.2,70.1,Loamy,86.1,46.8,2022,3.45
Chickpea,15.33,1475.8,25.2,86.2,Red,207.2,59.2,2020,2.29
Maize,9.36,1083.0,28.1,79.8,Red,54.6,31.4,2019,3.26
Chickpea,9.59,526.8,31.3,43.8,Loamy,199.9,31.4,2022,1.87
Rice,9.54,1543.3,28.4,56.1,Black,170.4,57.5,2022,4.1
Wheat,16.41,1580.5,33.7,44.2,Clay,50.2,43.0,2022,2.58
Sugarcane,8.08,831.9,24.5,56.9,Red,53.6,38.6,2020,6.79
Wheat,7.26,1203.3,24.2,52.6,Red,267.1,21.3,2024,3.71
Soybean,19.39,1392.9,24.3,69.8,Loamy,120.5,23.8,2020,1.66
Maize,13.73,1569.1,29.8,74.3,Red,64.3,40.9,2023,3.14
Maize,19.07,911.3,30.3,49.6,Clay,80.3,19.2,2016,3.81
Rice,13.58,1633.1,27.9,69.9,Clay,82.2,50.2,2024,3.69
Chickpea,1.83,941.8,29.5,88.5,Red,114.1,45.4,2022,1.86
Cotton,11.15,867.8,30.9,63.5,Clay,135.6,56.9,2022,2.02
Groundnut,10.56,1015.2,20.6,50.0,Red,76.0,16.5,2025,2.15
Chickpea,17.61,1198.6,19.6,82.3,Loamy,114.1,46.3,2019,1.88
Groundnut,2.74,1679.2,31.1,84.2,Loamy,147.9,25.0,2020,2.42
Cotton,8.34,560.2,21.6,55.9,Loamy,258.2,39.7,2017,2.66
Chickpea,14.23,637.4,29.3,62.4,Loamy,275.5,3.1,2018,2.64
Maize,11.43,1431.8,26.4,45.6,Sandy,101.8,9.1,2018,2.99
Chickpea,2.19,1579.5,26.0,66.8,Red,189.5,43.7,2019,2.21
Groundnut,1.03,926.3,27.1,49.4,Loamy,176.1,22.9,2023,2.41
Rice,8.42,1084.7,28.2,89.1,Sandy,234.3,22.7,2016,4.13
Sugarcane,5.58,1337.1,19.7,69.1,Sandy,74.7,22.4,2020,6.2
Chickpea,19.64,1096.0,20.9,46.7,Black,49.6,13.7,2018,1.81
Rice,7.0,868.6,24.4,80.8,Black,105.9,45.7,2018,4.12
Rice,17.45,898.1,20.0,58.4,Black,233.3,53.9,2021,5.2
Sugarcane,19.5,1119.9,26.0,86.2,Red,109.3,6.8,2021,7.72
Maize,11.36,883.6,19.3,73.0,Sandy,155.9,43.6,2017,3.66
Chickpea,7.68,507.2,31.9,57.6,Black,111.4,58.8,2015,2.2
Sugarcane,10.75,1462.4,20.6,41.6,Red,216.3,27.4,2017,8.11
Wheat,5.48,1321.0,23.8,87.5,Loamy,197.3,41.4,2020,3.7
Maize,11.06,987.3,28.4,52.5,Loamy,46.7,12.8,2023,4.0
Groundnut,18.36,609.0,30.4,75.2,Clay,299.1,18.6,2022,2.73
Wheat,9.59,1663.2,25.1,44.4,Sandy,213.6,43.2,2023,3.29
Soybean,17.94,1599.3,29.4,86.4,Clay,246.4,31.5,2016,2.46
Cotton,16.02,485.5,26.9,58.4,Red,73.7,53.3,2016,1.82
Soybean,8.57,1417.9,25.7,60.5,Black,254.1,6.3,2020,2.22
Sugarcane,3.44,1569.2,26.8,69.4,Clay,152.5,54.8,2015,7.61
Wheat,10.84,860.6,20.6,86.7,Clay,130.0,56.6,2019,3.48
Soybean,3.38,858.8,26.5,65.1,Clay,193.9,35.7,2017,2.06
Sugarcane,17.01,1210.9,31.2,41.4,Loamy,286.6,46.7,2019,9.53
Groundnut,12.74,490.9,32.2,67.3,Sandy,165.6,48.7,2025,1.79
Groundnut,6.65,548.5,19.0,62.0,Black,160.8,21.7,2017,2.29
Sugarcane,19.53,626.5,23.9,68.1,Sandy,102.9,9.1,2022,6.8
Cotton,3.68,518.3,33.1,83.2,Black,104.6,52.2,2017,2.19
Sugarcane,4.61,665.1,33.9,63.3,Sandy,169.3,7.2,2021,6.56
Chickpea,19.37,740.4,23.6,42.5,Black,195.4,50.9,2025,2.09
Wheat,9.19,1641.3,29.6,78.2,Sandy,51.8,5.0,2023,2.58
Cotton,7.89,839.6,24.2,62.5,Red,112.7,59.4,2025,1.97
Wheat,8.48,1523.1,23.4,86.9,Clay,91.8,31.5,2023,3.06
Rice,1.86,635.0,23.3,63.7,Black,78.7,53.8,2017,3.78
Maize,8.47,1282.3,31.5,69.7,Red,255.4,32.9,2024,4.5
Soybean,10.02,472.5,23.3,45.5,Black,191.8,48.2,2025,2.31
Cotton,14.71,1237.8,20.7,71.5,Red,241.4,24.1,2025,2.37
Cotton,1.6,1730.1,19.8,40.9,Sandy,148.9,26.0,2018,1.51
Chickpea,17.58,1443.4,19.0,46.9,Clay,185.8,59.9,2022,2.26
Groundnut,6.96,683.8,32.6,57.1,Sandy,215.7,52.3,2025,2.06
Chickpea,4.65,782.8,26.9,51.2,Sandy,240.5,42.9,2022,1.88
Sugarcane,10.12,1206.7,33.0,76.1,Sandy,71.7,41.2,2021,6.36
Sugarcane,19.14,1536.2,22.6,54.4,Loamy,130.1,27.7,2019,7.79
Chickpea,5.07,1567.7,22.3,68.1,Sandy,75.7,37.7,2024,1.6
Cotton,13.12,520.9,24.6,75.9,Loamy,217.1,10.0,2023,2.53
Maize,8.73,1712.3,32.1,63.9,Clay,236.5,18.7,2019,3.86
Wheat,13.39,763.5,29.8,82.5,Loamy,277.4,12.2,2017,3.96
Rice,19.95,985.9,25.9,86.8,Sandy,268.0,2.5,2024,4.14
Sugarcane,6.41,1785.3,26.7,64.7,Clay,261.3,29.1,2018,8.36
Wheat,7.28,1437.0,28.4,75.9,Loamy,231.5,47.9,2024,3.95
Groundnut,16.71,1145.6,19.4,73.5,Clay,295.2,29.7,2018,2.65
Rice,5.95,768.0,30.1,87.7,Sandy,191.4,35.2,2019,3.73
Rice,13.69,1078.3,20.6,74.3,Sandy,219.5,39.0,2019,3.85
Sugarcane,12.68,745.8,20.1,47.7,Red,137.1,42.7,2022,7.43
Cotton,15.48,1368.5,27.5,79.4,Red,156.2,42.8,2016,1.79
Wheat,2.17,1189.3,26.1,68.6,Clay,82.8,51.6,2022,3.35
Chickpea,2.73,1139.0,30.9,62.7,Red,148.0,34.7,2023,2.1
Chickpea,13.78,866.0,18.3,52.7,Loamy,233.9,35.5,2015,2.19
Rice,18.76,543.2,32.9,41.6,Black,86.8,9.9,2025,3.93
Groundnut,8.11,1653.3,25.2,85.9,Black,137.7,41.6,2025,2.41
Sugarcane,3.25,1790.3,24.3,46.4,Clay,257.1,45.9,2019,8.45
Chickpea,13.8,1185.0,26.5,81.2,Clay,159.8,11.0,2018,2.44
Wheat,1.61,1341.3,27.8,86.8,Loamy,102.6,5.9,2024,3.34
Rice,9.48,1357.2,32.0,52.2,Loamy,144.6,15.6,2018,4.28
Maize,10.57,840.5,31.1,76.6,Sandy,190.1,46.8,2020,3.4
Cotton,6.73,643.4,28.6,51.1,Sandy,111.5,34.3,2024,2.11
Groundnut,11.56,513.3,23.5,72.2,Black,244.3,20.5,2021,2.44
Groundnut,3.84,958.2,30.1,63.7,Clay,118.2,43.0,2022,2.54
Groundnut,11.59,631.0,21.9,50.2,Loamy,279.8,51.1,2016,2.75
Cotton,1.98,959.2,27.7,42.0,Loamy,88.9,46.2,2025,2.02
Sugarcane,6.76,1677.1,21.4,49.5,Loamy,234.2,45.8,2018,8.7
Cotton,8.54,773.1,23.1,54.2,Black,178.7,22.8,2019,2.14
Chickpea,2.87,1774.8,25.5,82.0,Clay,136.4,26.0,2024,2.23
Cotton,15.08,471.9,26.9,69.2,Black,116.7,13.4,2018,1.88
Chickpea,11.46,1723.7,23.4,78.2,Black,291.3,39.2,2022,2.6
Chickpea,4.2,1523.2,20.7,76.0,Black,87.9,53.6,2025,2.11
Wheat,18.96,1352.1,30.2,60.6,Clay,57.7,10.8,2018,2.95
Chickpea,8.09,1284.1,28.7,70.8,Black,211.4,2.9,2023,2.32
Soybean,11.18,837.0,26.0,74.9,Black,249.6,54.8,2016,2.4
Wheat,10.96,775.3,27.9,52.6,Sandy,109.5,25.0,2020,3.14
Cotton,19.81,754.9,28.9,82.4,Loamy,64.3,24.0,2023,2.02
Chickpea,2.07,462.8,20.7,65.0,Black,207.7,21.2,2016,2.54
Cotton,5.02,1622.0,32.2,63.8,Loamy,280.3,41.7,2019,2.26
Rice,4.41,1598.1,18.3,50.4,Clay,235.6,43.3,2021,4.46
Cotton,11.77,1596.7,28.8,67.0,Black,236.5,10.1,2016,2.36
Sugarcane,2.02,1040.1,31.4,57.0,Red,288.3,25.0,2020,9.15
Chickpea,10.32,930.3,33.1,61.6,Red,211.8,7.0,2024,2.21
Soybean,16.16,1412.7,19.3,47.7,Clay,232.3,20.4,2016,2.48
Chickpea,7.84,814.2,20.1,49.4,Black,184.8,31.7,2016,2.49
Rice,2.7,1198.2,27.6,79.2,Black,43.2,26.0,2016,3.76
Cotton,11.87,678.9,24.1,46.9,Sandy,109.8,10.5,2017,1.6
Groundnut,6.24,854.7,30.5,58.1,Clay,227.4,30.8,2024,2.68
Soybean,1.13,984.2,31.5,59.0,Sandy,154.5,27.0,2025,1.88
Maize,6.71,1264.3,29.1,64.0,Clay,290.8,58.2,2019,4.58
Cotton,7.19,828.4,30.6,58.3,Red,91.9,59.8,2017,1.7
Rice,19.11,1073.2,29.3,61.9,Sandy,256.1,6.0,2021,4.26
Soybean,5.6,1339.2,29.4,79.5,Loamy,156.8,36.7,2024,2.01
Groundnut,11.15,1696.7,31.9,60.9,Loamy,245.6,22.9,2023,2.31
Wheat,15.61,1337.8,23.7,72.3,Loamy,186.4,39.4,2025,3.62
Groundnut,19.37,897.7,30.7,45.3,Loamy,107.3,31.6,2023,2.16
Cotton,9.47,978.0,30.4,69.4,Red,79.2,59.9,2022,1.86
Wheat,6.61,1692.7,19.4,81.6,Clay,130.6,21.9,2018,2.97
Wheat,9.33,1390.6,23.1,55.0,Loamy,45.9,21.9,2016,3.11
Maize,18.67,1449.7,26.3,67.6,Sandy,185.6,57.6,2018,3.72
Maize,13.17,1033.4,18.5,70.7,Clay,156.9,26.9,2015,3.8
Cotton,4.91,1465.6,30.9,43.1,Loamy,247.9,33.1,2020,2.43
Soybean,13.74,1110.8,33.5,55.7,Black,198.9,36.0,2020,2.37
Sugarcane,17.06,1283.4,31.0,75.3,Sandy,278.9,36.2,2025,8.09
Soybean,3.22,954.0,20.3,59.4,Red,75.8,24.3,2017,1.82
Chickpea,13.07,1386.1,28.3,90.0,Red,83.4,18.8,2017,1.73
Rice,17.44,1735.0,25.8,49.8,Black,290.6,31.3,2022,4.97
Groundnut,14.01,1011.1,31.4,64.4,Loamy,187.0,48.2,2018,2.67
Soybean,4.2,1067.4,29.9,78.3,Red,172.8,35.2,2019,2.15
Sugarcane,11.3,1471.7,30.2,62.1,Clay,297.3,7.9,2025,8.91
Rice,9.54,920.6,31.1,62.0,Loamy,241.7,15.7,2024,4.87
Sugarcane,17.36,1273.9,24.9,70.8,Clay,251.5,48.7,2024,9.02
Maize,7.15,1400.5,22.6,53.4,Red,296.2,41.4,2016,4.46
Maize,19.29,1510.7,32.7,89.6,Clay,222.4,9.7,2017,4.05
Groundnut,10.3,1229.5,22.3,60.7,Black,59.6,48.1,2016,1.86
Groundnut,10.8,825.6,33.0,58.5,Black,125.1,2.1,2016,2.36
Sugarcane,17.15,1524.2,24.4,88.4,Clay,168.6,20.7,2019,7.74
Sugarcane,11.4,626.3,31.6,79.4,Loamy,51.9,38.3,2022,7.55
Maize,9.38,450.9,33.3,50.1,Clay,269.4,19.5,2019,4.37
Wheat,13.44,788.0,23.9,85.2,Clay,53.5,38.3,2018,3.01
Wheat,1.02,1093.7,20.1,51.3,Black,42.4,42.3,2016,3.17
Groundnut,14.19,1094.9,21.7,44.5,Loamy,66.8,23.3,2019,2.49
Maize,13.19,1364.1,19.1,68.2,Red,209.0,27.5,2018,4.22
Maize,18.48,1281.7,25.1,50.9,Loamy,76.4,9.1,2021,3.73
Maize,5.71,1320.2,22.0,70.0,Red,114.1,56.6,2015,3.75
Soybean,4.9,1269.4,21.0,59.6,Loamy,243.8,48.0,2018,2.25
Chickpea,13.12,545.9,32.2,40.6,Sandy,282.8,9.7,2024,2.05
Groundnut,7.94,1372.0,30.2,87.7,Loamy,44.3,5.9,2019,2.22
Groundnut,10.63,1298.6,26.0,60.8,Black,61.4,33.1,2024,2.62
Maize,6.27,868.4,26.2,50.2,Clay,179.5,24.7,2025,4.3
Wheat,6.89,1040.6,33.3,51.9,Clay,62.4,27.2,2022,2.85
Rice,6.88,1451.3,29.9,46.0,Clay,222.4,11.5,2020,4.13
Soybean,4.17,621.4,30.5,53.4,Loamy,240.6,3.7,2021,2.26
Soybean,10.95,805.0,33.6,71.4,Black,158.4,22.9,2022,2.13
Maize,5.85,588.9,27.2,76.1,Clay,232.6,2.1,2015,4.29
Cotton,1.87,941.4,32.7,48.9,Loamy,183.7,55.0,2025,2.3
Groundnut,18.4,881.9,31.2,68.6,Loamy,170.5,54.3,2017,2.69
Cotton,16.28,1774.9,33.3,43.4,Black,265.2,46.9,2019,2.27
Rice,8.01,843.7,30.6,77.0,Clay,160.6,36.3,2022,4.47
Cotton,14.92,1187.9,30.7,47.5,Black,46.2,33.4,2025,2.17
Sugarcane,1.03,1337.4,31.6,76.4,Loamy,93.4,59.0,2021,7.31
Chickpea,19.26,1763.0,20.3,54.0,Loamy,279.5,54.0,2023,2.03
Chickpea,19.52,564.6,19.5,46.7,Black,59.5,34.9,2021,2.03
Maize,5.5,802.3,23.0,80.0,Sandy,122.7,17.8,2016,3.51
Wheat,3.95,671.9,25.5,60.3,Red,133.2,46.7,2022,3.26
Soybean,9.8,1600.9,19.4,80.4,Sandy,254.9,42.4,2015,1.95
Maize,2.73,785.1,23.7,65.7,Sandy,107.6,59.5,2015,3.7
Groundnut,17.24,1200.5,26.8,44.7,Loamy,249.0,10.1,2015,3.21
Cotton,3.48,1562.0,24.0,71.5,Loamy,191.4,17.0,2016,2.48
Rice,19.95,717.0,28.3,80.5,Loamy,275.3,50.1,2020,5.44
Rice,4.19,1224.7,31.1,59.7,Loamy,139.5,26.7,2020,4.64
Cotton,18.26,821.2,25.1,47.4,Red,201.0,16.3,2019,1.92
Chickpea,2.16,827.7,20.2,50.0,Red,104.8,59.7,2023,1.89
Rice,19.8,1505.6,23.7,67.2,Black,129.4,34.8,2020,4.02
Sugarcane,12.35,489.6,31.0,54.0,Black,177.7,46.5,2018,8.28
Maize,2.9,1336.8,22.3,80.8,Loamy,238.7,57.0,2024,4.83
Sugarcane,18.77,1788.6,20.8,51.8,Sandy,249.6,42.5,2024,7.03
Rice,14.37,924.8,27.1,47.1,Clay,257.5,49.0,2022,4.83
Rice,2.71,764.0,21.5,66.3,Loamy,126.3,37.6,2017,4.24
Sugarcane,14.62,1690.4,31.5,56.2,Loamy,78.4,42.9,2017,7.16
Sugarcane,19.25,954.3,33.1,59.8,Loamy,127.5,20.7,2017,7.9
Groundnut,16.05,1746.9,28.4,48.7,Red,220.3,55.9,2020,2.4
Maize,8.19,1440.9,22.7,48.9,Loamy,286.7,57.0,2021,5.0
Rice,4.46,879.6,30.9,70.6,Red,67.1,30.8,2020,3.61
Sugarcane,4.19,1645.2,19.4,75.4,Sandy,156.1,17.4,2018,6.46
Wheat,7.66,1512.5,29.5,42.4,Black,230.5,58.2,2021,3.69
Groundnut,2.93,1097.3,31.8,72.5,Clay,82.3,6.3,2015,2.2
Soybean,1.38,802.5,19.7,57.1,Black,81.8,6.4,2016,1.59
Chickpea,14.39,1032.3,28.5,70.4,Black,80.8,7.9,2018,2.49
Cotton,8.78,1198.1,32.8,67.0,Sandy,117.3,7.6,2021,1.52
Maize,2.04,455.2,19.4,81.2,Red,164.9,7.6,2018,3.53
Maize,13.13,1769.0,25.6,45.8,Black,162.4,53.9,2019,4.17
Maize,8.05,965.0,21.0,42.2,Black,160.9,15.1,2019,4.4
Rice,3.87,1390.2,19.5,73.4,Red,147.6,45.9,2018,3.54
Groundnut,19.35,1377.5,33.0,68.6,Clay,163.8,6.6,2015,2.23
Maize,3.29,1472.2,20.8,89.2,Clay,250.2,9.3,2021,4.57
Cotton,19.95,1296.8,31.3,52.9,Loamy,62.6,34.3,2023,2.15
Sugarcane,17.28,1151.6,32.7,40.6,Red,192.8,47.3,2016,7.95
Wheat,18.57,1209.6,19.6,54.3,Red,268.8,52.9,2019,3.88
Groundnut,13.44,1222.2,25.6,48.6,Black,77.4,37.3,2021,2.66
Sugarcane,14.12,516.5,25.6,53.4,Sandy,45.3,49.4,2019,6.07
Soybean,6.33,1113.7,29.1,44.9,Clay,74.9,58.5,2022,1.85
Groundnut,12.49,570.5,25.1,85.7,Black,232.6,46.1,2020,2.57
Rice,10.79,664.6,23.0,65.3,Clay,242.9,32.4,2024,4.76
Cotton,16.9,786.8,25.3,85.9,Clay,111.2,49.8,2023,2.14
Groundnut,13.07,617.2,18.5,58.6,Red,156.0,57.7,2022,2.08
Maize,16.92,799.2,31.3,44.5,Loamy,140.5,11.4,2024,4.06
Cotton,17.29,1324.0,28.8,53.5,Black,173.5,52.1,2025,2.73
Maize,12.42,461.4,22.0,80.3,Sandy,225.3,43.1,2019,3.72
